model,val_loss,val_binary_accuracy,val_auc_roc,val_auc_pr
Baseline CNN,0.4430384933948517,0.7801980376243591,0.8556245565414429,0.6840613484382629
ResNet50,0.4572485089302063,0.7920792698860168,0.8495049476623535,0.6676880121231079
DenseNet121,0.4691534638404846,0.7603960633277893,0.8404126167297363,0.6538151502609253
EfficientNetB0,0.4759761691093445,0.771287202835083,0.8301394581794739,0.6534277200698853
