model,auc_roc,auc_pr,binary_accuracy,precision,recall
baseline_cnn,0.8556245565414429,0.6840613484382629,0.7801980376243591,0.8064516186714172,0.2688172161579132
densenet121_transfer,0.8357559442520142,0.6426772475242615,0.7623762488365173,0.6822429895401001,0.2616487443447113
