label,baseline_auc,densenet121_auc,improvement
Atelectasis,0.8203674540682415,0.801994750656168,-0.018372703412073532
Cardiomegaly,0.7736185383244207,0.7467691622103387,-0.026849376114082002
Consolidation,0.8654411764705883,0.8652573529411764,-0.00018382352941181956
Edema,0.9287202380952381,0.9098214285714286,-0.018898809523809512
Pleural Effusion,0.8908514492753622,0.8547327898550724,-0.0361186594202898
